# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:54:40
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3262.75	-201.6877
3262.8	-263.22289
3262.85	-311.99414
3262.9	-347.88179
3262.95	-371.31879
3263	-383.19689
3263.05	-384.69164
3263.1	-377.18685
3263.15	-362.12568
3263.2	-341.03422
3263.25	-315.39813
3263.3	-286.70387
3263.35	-256.38046
3263.4	-225.78524
3263.45	-196.14253
3263.5	-168.51061
3263.55	-143.69379
3263.6	-122.21527
3263.65	-104.27877
3263.7	-89.807276
3263.75	-78.436708
3263.8	-69.629767
3263.85	-62.712435
3263.9	-57.055983
3263.95	-52.068096
3264	-47.339344
3264.05	-42.641509
3264.1	-37.926049
3264.15	-33.241125
3264.2	-28.738457
3264.25	-24.593082
3264.3	-20.984772
3264.35	-18.012276
3264.4	-15.752147
3264.45	-14.169664
3264.5	-13.190901
3264.55	-12.674429
3264.6	-12.47506
3264.65	-12.4084
3264.7	-12.311816
3264.75	-12.019177
3264.8	-11.407816
3264.85	-10.353419
3264.9	-8.7940282
3264.95	-6.6759314
3265	-4.0043387
3265.05	-0.81509304
3265.1	2.7598843
3265.15	6.5470799
3265.2	10.30221
3265.25	13.806537
3265.3	16.823605
3265.35	19.179033
3265.4	20.735981
3265.45	21.483686
3265.5	21.476499
3265.55	20.87496
3265.6	19.913903
3265.65	18.85174
3265.7	17.92667
3265.75	17.316348
3265.8	17.068435
3265.85	17.150484
3265.9	17.41913
3265.95	17.686894
3266	17.744779
3266.05	17.434393
3266.1	16.685183
3266.15	15.517068
3266.2	14.03179
3266.25	12.411344
3266.3	10.865982
3266.35	9.6096267
3266.4	8.7866575
3266.45	8.5004172
3266.5	8.7529258
3266.55	9.4951671
3266.6	10.607526
3266.65	11.946053
3266.7	13.32836
3266.75	14.60211
3266.8	15.598469
3266.85	16.226826
3266.9	16.411957
3266.95	16.142655
3267	15.390208
3267.05	14.171018
3267.1	12.477379
3267.15	10.35593
3267.2	7.8375703
3267.25	5.044643
3267.3	2.095292
3267.35	-0.80849457
3267.4	-3.5106631
3267.45	-5.823784
3267.5	-7.6186248
3267.55	-8.801548
3267.6	-9.3388311
3267.65	-9.2182447
3267.7	-8.4917915
3267.75	-7.2277858
3267.8	-5.5303936
3267.85	-3.5147445
3267.9	-1.2835575
3267.95	1.07212
3268	3.4491864
3268.05	5.764285
3268.1	7.9014527
3268.15	9.7829159
3268.2	11.302555
3268.25	12.406695
3268.3	13.052247
3268.35	13.243402
3268.4	13.020138
3268.45	12.486652
3268.5	11.723796
3268.55	10.82939
3268.6	9.8731434
3268.65	8.9346211
3268.7	8.0168668
3268.75	7.1304914
3268.8	6.2405207
3268.85	5.3173799
3268.9	4.28472
3268.95	3.1227109
3269	1.7881858
3269.05	0.29804185
3269.1	-1.3180937
3269.15	-2.9619402
3269.2	-4.5098087
3269.25	-5.8145416
3269.3	-6.7799076
3269.35	-7.3061016
3269.4	-7.3811859
3269.45	-7.0048672
3269.5	-6.2395948
3269.55	-5.1511671
3269.6	-3.8514279
3269.65	-2.4582546
3269.7	-1.070447
3269.75	0.25155743
3269.8	1.4511805
3269.85	2.5332412
3269.9	3.511388
3269.95	4.4213437
3270	5.2626222
3270.05	6.0439832
3270.1	6.7045877
3270.15	7.2232474
3270.2	7.5407975
3270.25	7.6328755
3270.3	7.4746491
3270.35	7.0961271
3270.4	6.5302222
3270.45	5.8288349
3270.5	5.0409081
3270.55	4.2211491
3270.6	3.3887688
3270.65	2.5613486
3270.7	1.707021
3270.75	0.8114464
3270.8	-0.19551544
3270.85	-1.3596746
3270.9	-2.7397191
3270.95	-4.3427283
3271	-6.1488443
3271.05	-8.1045163
3271.1	-10.125827
3271.15	-12.090511
3271.2	-13.856009
3271.25	-15.252639
3271.3	-16.152938
3271.35	-16.429561
3271.4	-16.033306
3271.45	-14.947335
3271.5	-13.247275
3271.55	-11.02462
3271.6	-8.4356222
3271.65	-5.617969
3271.7	-2.7571061
3271.75	0.012598267
3271.8	2.5248328
3271.85	4.6783034
3271.9	6.3770631
3271.95	7.5865902
3272	8.3023854
3272.05	8.551944
3272.1	8.4077185
3272.15	7.9656543
3272.2	7.328189
3272.25	6.5944583
3272.3	5.8202023
3272.35	5.0577258
3272.4	4.3163126
3272.45	3.5976543
3272.5	2.8861356
3272.55	2.1566264
3272.6	1.3914032
3272.65	0.57189924
3272.7	-0.32251756
3272.75	-1.2679154
3272.8	-2.2495966
3272.85	-3.2263146
3272.9	-4.1648115
3272.95	-5.0105652
3273	-5.7114836
3273.05	-6.2052819
3273.1	-6.4538027
3273.15	-6.4242988
3273.2	-6.0932389
3273.25	-5.435613
3273.3	-4.4640578
3273.35	-3.1720289
3273.4	-1.5764827
3273.45	0.27996541
3273.5	2.3242166
3273.55	4.4759009
3273.6	6.5851373
3273.65	8.5194641
3273.7	10.107728
3273.75	11.226283
3273.8	11.7459
3273.85	11.605478
3273.9	10.785304
3273.95	9.351919
3274	7.4313184
3274.05	5.2289809
3274.1	2.9600166
3274.15	0.88780264
3274.2	-0.7851057
3274.25	-1.8894479
3274.3	-2.3613176
3274.35	-2.2077816
3274.4	-1.5366741
3274.45	-0.51729608
3274.5	0.63209446
3274.55	1.7089255
3274.6	2.515479
3274.65	2.9382235
3274.7	2.8993616
3274.75	2.4432532
3274.8	1.6726735
3274.85	0.74803561
3274.9	-0.15447215
3274.95	-0.85751105
3275	-1.2423273
3275.05	-1.2232904
3275.1	-0.80037541
3275.15	0.01402983
3275.2	1.1299751
3275.25	2.455909
3275.3	3.8617322
3275.35	5.252588
3275.4	6.5300384
3275.45	7.6247731
3275.5	8.4591261
3275.55	8.9834297
3275.6	9.1476875
3275.65	8.9483746
3275.7	8.3820236
3275.75	7.5093508
3275.8	6.4167699
3275.85	5.2439304
3275.9	4.1047868
3275.95	3.1464968
3276	2.4555302
3276.05	2.1004334
3276.1	2.0536134
3276.15	2.2561323
3276.2	2.5776014
3276.25	2.8568822
3276.3	2.9161188
3276.35	2.6269799
3276.4	1.8996522
3276.45	0.75698333
3276.5	-0.72897188
3276.55	-2.3865168
3276.6	-4.0444115
3276.65	-5.5029869
3276.7	-6.58829
3276.75	-7.1768321
3276.8	-7.2026684
3276.85	-6.6402947
3276.9	-5.5294318
3276.95	-3.9211452
