# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:40:38
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3271.15	3.4313761
3271.2	7.0034966
3271.25	10.791162
3271.3	14.659697
3271.35	18.489505
3271.4	22.107522
3271.45	25.338595
3271.5	27.974599
3271.55	29.837083
3271.6	30.759996
3271.65	30.657261
3271.7	29.485927
3271.75	27.303257
3271.8	24.224292
3271.85	20.440997
3271.9	16.164485
3271.95	11.623569
3272	7.0327836
3272.05	2.5884415
3272.1	-1.576388
3272.15	-5.36466
3272.2	-8.7656638
3272.25	-11.76469
3272.3	-14.412017
3272.35	-16.741849
3272.4	-18.814634
3272.45	-20.662488
3272.5	-22.302725
3272.55	-23.698698
3272.6	-24.819747
3272.65	-25.566901
3272.7	-25.868894
3272.75	-25.628888
3272.8	-24.810109
3272.85	-23.370878
3272.9	-21.356682
3272.95	-18.825338
3273	-15.916111
3273.05	-12.756502
3273.1	-9.5016236
3273.15	-6.2808491
3273.2	-3.2355519
3273.25	-0.47147372
3273.3	1.9103098
3273.35	3.8532666
3273.4	5.31045
3273.45	6.2828333
3273.5	6.786211
3273.55	6.9091795
3273.6	6.7238207
3273.65	6.3366543
3273.7	5.8152902
3273.75	5.2153565
3273.8	4.5764456
3273.85	3.9170857
3273.9	3.250553
3273.95	2.5824501
3274	1.890122
3274.05	1.1669439
3274.1	0.38891162
3274.15	-0.44328038
3274.2	-1.3252801
3274.25	-2.2240958
3274.3	-3.1072356
3274.35	-3.9176181
3274.4	-4.6159767
3274.45	-5.1577369
3274.5	-5.5053025
3274.55	-5.6083846
3274.6	-5.4542182
3274.65	-5.0248312
3274.7	-4.3207591
3274.75	-3.3368805
3274.8	-2.081069
3274.85	-0.56629476
3274.9	1.1665196
3274.95	3.0706909
3275	5.0593498
3275.05	7.038263
3275.1	8.8647997
3275.15	10.418815
3275.2	11.548171
3275.25	12.14838
3275.3	12.12553
3275.35	11.468086
3275.4	10.203061
3275.45	8.4503485
3275.5	6.3598212
3275.55	4.1690667
3275.6	2.1096204
3275.65	0.40710402
3275.7	-0.79197695
3275.75	-1.3886555
3275.8	-1.3888624
3275.85	-0.85755418
3275.9	0.032122713
3275.95	1.109509
3276	2.1428456
3276.05	2.9820545
3276.1	3.4705908
3276.15	3.5476992
3276.2	3.2131328
3276.25	2.5560489
3276.3	1.70777
3276.35	0.83826372
3276.4	0.10430705
3276.45	-0.34714783
3276.5	-0.45266831
3276.55	-0.17959947
3276.6	0.44076622
3276.65	1.3595819
3276.7	2.4699355
3276.75	3.6874899
3276.8	4.9135664
3276.85	6.0848929
3276.9	7.0998811
3276.95	7.9039221
3277	8.4304094
3277.05	8.6532653
3277.1	8.5437394
3277.15	8.1162782
3277.2	7.4007304
3277.25	6.483238
3277.3	5.4671029
3277.35	4.473243
3277.4	3.6143151
3277.45	3.0021391
3277.5	2.6845431
3277.55	2.6829201
3277.6	2.9015181
3277.65	3.2438331
3277.7	3.5200725
3277.75	3.609562
3277.8	3.3543104
3277.85	2.6971752
3277.9	1.6191873
3277.95	0.20984027
3278	-1.4034863
3278.05	-3.0321008
3278.1	-4.5116313
3278.15	-5.6581109
3278.2	-6.3556751
3278.25	-6.5172466
3278.3	-6.1350634
3278.35	-5.2196511
3278.4	-3.828626
3278.45	-2.020379
3278.5	0.10646213
3278.55	2.455804
3278.6	4.8743135
3278.65	7.227082
3278.7	9.3325379
3278.75	11.033728
3278.8	12.17558
3278.85	12.653968
3278.9	12.40057
3278.95	11.464765
3279	9.953422
3279.05	8.058193
3279.1	6.0136353
3279.15	4.0809306
3279.2	2.480076
3279.25	1.3881754
3279.3	0.86456392
3279.35	0.89023246
3279.4	1.317218
3279.45	1.9334527
3279.5	2.4877473
3279.55	2.7427024
3279.6	2.5115054
3279.65	1.7504609
3279.7	0.47846026
3279.75	-1.1450623
3279.8	-2.924433
3279.85	-4.6056233
3279.9	-5.9533576
3279.95	-6.7537892
3280	-6.8790196
3280.05	-6.2687349
3280.1	-4.9624781
3280.15	-3.0551745
3280.2	-0.72425783
3280.25	1.8415198
3280.3	4.4043288
3280.35	6.7583305
3280.4	8.7050035
3280.45	10.098793
3280.5	10.835187
3280.55	10.902482
3280.6	10.317658
3280.65	9.1800705
3280.7	7.6017349
3280.75	5.7726252
3280.8	3.8388304
3280.85	1.982134
3280.9	0.36048863
3280.95	-0.88909314
3281	-1.6867889
3281.05	-1.9821848
3281.1	-1.7866009
3281.15	-1.1717514
3281.2	-0.27649055
3281.25	0.75044997
3281.3	1.710318
3281.35	2.4398258
3281.4	2.7952941
3281.45	2.7206419
3281.5	2.2067494
3281.55	1.3371948
3281.6	0.22179527
3281.65	-0.962408
3281.7	-2.050129
3281.75	-2.8926639
3281.8	-3.3717009
3281.85	-3.4197993
3281.9	-3.0241649
3281.95	-2.2233704
3282	-1.0918503
3282.05	0.27285678
3282.1	1.7440052
3282.15	3.230427
3282.2	4.6207249
3282.25	5.8443894
3282.3	6.8004116
3282.35	7.4480306
3282.4	7.741874
3282.45	7.6877615
3282.5	7.2942445
3282.55	6.6383785
3282.6	5.8079468
3282.65	4.9361194
3282.7	4.1324518
3282.75	3.5322676
3282.8	3.2083333
3282.85	3.2075707
3282.9	3.4983544
3282.95	3.9928267
3283	4.5369807
3283.05	4.9777234
3283.1	5.126822
3283.15	4.8774444
3283.2	4.1413554
3283.25	2.9559002
3283.3	1.4075938
3283.35	-0.33518418
3283.4	-2.0821013
3283.45	-3.6218079
3283.5	-4.7960325
3283.55	-5.467924
3283.6	-5.6113873
3283.65	-5.2144546
3283.7	-4.3506418
3283.75	-3.1143088
3283.8	-1.6265969
3283.85	8.4895243e-05
3283.9	1.644884
3283.95	3.2286503
3284	4.6683085
3284.05	5.9260208
3284.1	6.9527171
3284.15	7.7408617
3284.2	8.2884678
3284.25	8.613614
3284.3	8.7314951
3284.35	8.6708247
3284.4	8.4588993
3284.45	8.119019
3284.5	7.6565959
3284.55	7.0946833
3284.6	6.4390019
3284.65	5.6976733
3284.7	4.8850666
3284.75	4.0216903
3284.8	3.1097455
3284.85	2.1733223
3284.9	1.2404261
3284.95	0.36481743
3285	-0.41070095
3285.05	-1.0346842
3285.1	-1.4585728
3285.15	-1.6402781
3285.2	-1.5629751
3285.25	-1.2194813
3285.3	-0.63660916
3285.35	0.16036084
3285.4	1.1058942
3285.45	2.1624614
3285.5	3.2682375
3285.55	4.380436
3285.6	5.4388291
3285.65	6.4227086
3285.7	7.2738729
3285.75	7.9736685
3285.8	8.4775355
3285.85	8.7667658
3285.9	8.8117204
3285.95	8.6166877
3286	8.1728286
3286.05	7.5275269
3286.1	6.7210926
3286.15	5.8216031
3286.2	4.9001603
3286.25	4.0305566
3286.3	3.2522893
3286.35	2.6133324
3286.4	2.115318
3286.45	1.7491449
3286.5	1.4774903
3286.55	1.2771588
3286.6	1.0700078
3286.65	0.80851058
3286.7	0.44133921
3286.75	-0.012583165
3286.8	-0.56697007
3286.85	-1.157383
3286.9	-1.7287749
3286.95	-2.2051707
3287	-2.5380369
3287.05	-2.6810591
3287.1	-2.6297433
3287.15	-2.3983704
3287.2	-2.0428661
3287.25	-1.6135923
3287.3	-1.1896927
3287.35	-0.80785148
3287.4	-0.50819276
3287.45	-0.28835642
3287.5	-0.14247523
3287.55	-0.033128915
3287.6	0.054989069
3287.65	0.16537632
3287.7	0.3236991
3287.75	0.56738816
3287.8	0.88477997
3287.85	1.2683052
3287.9	1.6671542
3287.95	2.0804771
3288	2.4506617
3288.05	2.738822
3288.1	2.9095341
3288.15	2.9193836
3288.2	2.7177464
3288.25	2.2949565
3288.3	1.6271036
3288.35	0.74656001
3288.4	-0.33160027
3288.45	-1.5388222
3288.5	-2.8064882
3288.55	-4.0191926
3288.6	-5.106011
3288.65	-5.9743618
3288.7	-6.5974901
3288.75	-6.9709684
3288.8	-7.1223808
3288.85	-7.1172443
3288.9	-7.0365575
3288.95	-6.9102307
3289	-6.7745178
3289.05	-6.5942977
3289.1	-6.3493872
3289.15	-5.9786374
3289.2	-5.4482851
3289.25	-4.7236936
3289.3	-3.8181667
3289.35	-2.7411974
3289.4	-1.5512334
3289.45	-0.30842468
3289.5	0.87961307
3289.55	1.9350075
3289.6	2.7684228
3289.65	3.3254468
3289.7	3.5604573
3289.75	3.4613257
3289.8	3.0289718
3289.85	2.312017
3289.9	1.3538211
3289.95	0.21771705
3290	-1.0599266
3290.05	-2.4065878
3290.1	-3.7835045
3290.15	-5.1096758
3290.2	-6.3415477
3290.25	-7.4031941
3290.3	-8.2393197
3290.35	-8.7894628
3290.4	-9.0294147
3290.45	-8.9374836
3290.5	-8.5453945
3290.55	-7.8990852
3290.6	-7.0859892
3290.65	-6.1924741
3290.7	-5.3202343
3290.75	-4.5343334
3290.8	-3.9001196
3290.85	-3.4197893
3290.9	-3.1067117
3290.95	-2.9097685
3291	-2.801093
3291.05	-2.7024316
3291.1	-2.5653007
3291.15	-2.3417936
3291.2	-2.0007042
3291.25	-1.5190882
3291.3	-0.90182577
3291.35	-0.16542208
3291.4	0.62204676
3291.45	1.3957657
3291.5	2.0656463
3291.55	2.5480998
3291.6	2.7674109
3291.65	2.6688423
3291.7	2.2328113
3291.75	1.4915276
3291.8	0.50510106
3291.85	-0.61160819
3291.9	-1.7494062
3291.95	-2.7728446
3292	-3.595575
3292.05	-4.1173961
3292.1	-4.3123502
3292.15	-4.1628569
3292.2	-3.711051
3292.25	-3.0400126
3292.3	-2.2600349
3292.35	-1.468677
3292.4	-0.79313248
3292.45	-0.31121914
