# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:20:57
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3279.2	10.330202
3279.25	8.6026309
3279.3	6.5702097
3279.35	4.4328756
3279.4	2.3590513
3279.45	0.53079201
3279.5	-0.92684117
3279.55	-1.8868275
3279.6	-2.3075042
3279.65	-2.2052557
3279.7	-1.6571034
3279.75	-0.78589769
3279.8	0.22349572
3279.85	1.1748308
3279.9	1.8882381
3279.95	2.224614
3280	2.0996801
3280.05	1.5142195
3280.1	0.54029863
3280.15	-0.66745404
3280.2	-1.9420695
3280.25	-3.0947443
3280.3	-3.9632311
3280.35	-4.4294145
3280.4	-4.428897
3280.45	-3.9402255
3280.5	-3.0327605
3280.55	-1.7709045
3280.6	-0.27593745
3280.65	1.3516529
3280.7	2.9799113
3280.75	4.5136238
3280.8	5.8374195
3280.85	6.8853405
3280.9	7.5770924
3280.95	7.8918244
3281	7.8138356
3281.05	7.3849196
3281.1	6.6542504
3281.15	5.7283942
3281.2	4.7357517
3281.25	3.8271197
3281.3	3.1142754
3281.35	2.699686
3281.4	2.6272084
3281.45	2.8672999
3281.5	3.3198048
3281.55	3.8425918
3281.6	4.2494218
3281.65	4.3765371
3281.7	4.0664914
3281.75	3.2698138
3281.8	1.9908859
3281.85	0.35664563
3281.9	-1.4709547
3281.95	-3.2652645
3282	-4.8307706
3282.05	-5.9797105
3282.1	-6.6039816
3282.15	-6.6509112
3282.2	-6.1499455
3282.25	-5.1575662
3282.3	-3.8066518
3282.35	-2.2186818
3282.4	-0.51910308
3282.45	1.1894102
3282.5	2.8095567
3282.55	4.2800544
3282.6	5.5550323
3282.65	6.6134827
3282.7	7.4265514
3282.75	7.9989715
3282.8	8.3347545
3282.85	8.4657793
3282.9	8.4041839
3282.95	8.1848283
3283	7.8100725
3283.05	7.3073779
3283.1	6.6858626
3283.15	5.9693584
3283.2	5.1446316
3283.25	4.2421716
3283.3	3.2697983
3283.35	2.2545263
3283.4	1.2090751
3283.45	0.19636969
3283.5	-0.75685897
3283.55	-1.5867517
3283.6	-2.2340347
3283.65	-2.6418247
3283.7	-2.7835039
3283.75	-2.634831
3283.8	-2.2167063
3283.85	-1.5473965
3283.9	-0.67179875
3283.95	0.36181572
3284	1.4881453
3284.05	2.6572371
3284.1	3.8035858
3284.15	4.9025997
3284.2	5.9140113
3284.25	6.8096673
3284.3	7.5492279
3284.35	8.1063533
3284.4	8.4436929
3284.45	8.546317
3284.5	8.3878656
3284.55	7.9872584
3284.6	7.3467045
3284.65	6.53692
3284.7	5.6071006
3284.75	4.6394254
3284.8	3.6794309
3284.85	2.8126263
3284.9	2.0626646
3284.95	1.4628947
3285	0.99383673
3285.05	0.63542663
3285.1	0.32240272
3285.15	0.012521606
3285.2	-0.35887397
3285.25	-0.81020425
3285.3	-1.3578663
3285.35	-1.9693165
3285.4	-2.6045303
3285.45	-3.1736672
3285.5	-3.619931
3285.55	-3.8756101
3285.6	-3.9253424
3285.65	-3.7617617
3285.7	-3.4344913
3285.75	-2.9821092
3285.8	-2.4884341
3285.85	-2.0203762
3285.9	-1.6392021
3285.95	-1.3435206
3286	-1.1469863
3286.05	-1.0073279
3286.1	-0.90394435
3286.15	-0.77734378
3286.2	-0.6041151
3286.25	-0.35803086
3286.3	-0.038023758
3286.35	0.36426548
3286.4	0.81067669
3286.45	1.2770429
3286.5	1.7096433
3286.55	2.0761453
3286.6	2.3177338
3286.65	2.4139355
3286.7	2.3175837
3286.75	2.010146
3286.8	1.4556836
3286.85	0.66488691
3286.9	-0.35455154
3286.95	-1.5546507
3287	-2.8779866
3287.05	-4.2241784
3287.1	-5.5012596
3287.15	-6.5932626
3287.2	-7.4379203
3287.25	-7.9790357
3287.3	-8.2539367
3287.35	-8.3032838
3287.4	-8.2068934
3287.45	-8.0257679
3287.5	-7.8327807
3287.55	-7.6506661
3287.6	-7.4699817
3287.65	-7.2389216
3287.7	-6.9051682
3287.75	-6.3887555
3287.8	-5.6628684
3287.85	-4.7115352
3287.9	-3.5688618
3287.95	-2.279249
3288	-0.93862428
3288.05	0.37623549
3288.1	1.5425078
3288.15	2.4823154
3288.2	3.109667
3288.25	3.3814111
3288.3	3.2724127
3288.35	2.8038573
3288.4	1.999015
3288.45	0.91898799
3288.5	-0.37283262
3288.55	-1.8018232
3288.6	-3.3075379
3288.65	-4.8238711
3288.7	-6.2912842
3288.75	-7.6297706
3288.8	-8.7825095
3288.85	-9.6681473
3288.9	-10.246864
3288.95	-10.467676
3289	-10.33655
3289.05	-9.8612364
3289.1	-9.1306777
3289.15	-8.2173236
3289.2	-7.2347693
3289.25	-6.2769517
3289.3	-5.4397092
3289.35	-4.7643607
3289.4	-4.2990668
3289.45	-4.0091147
3289.5	-3.8562354
3289.55	-3.7706249
3289.6	-3.6965647
3289.65	-3.5547467
3289.7	-3.3024969
3289.75	-2.8879939
3289.8	-2.3151968
3289.85	-1.5839832
3289.9	-0.73814861
3289.95	0.17238691
3290	1.0444239
3290.05	1.7953433
3290.1	2.321727
3290.15	2.5429399
3290.2	2.3926308
3290.25	1.8688333
3290.3	1.0050873
3290.35	-0.11266422
3290.4	-1.3775944
3290.45	-2.6593895
3290.5	-3.8334863
3290.55	-4.7652857
3290.6	-5.3794981
3290.65	-5.6103704
3290.7	-5.4748375
3290.75	-4.9991639
3290.8	-4.2868871
3290.85	-3.4307883
3290.9	-2.5688127
3290.95	-1.814509
3291	-1.2731785
3291.05	-0.99479722
3291.1	-1.0166026
3291.15	-1.2921162
3291.2	-1.7538986
3291.25	-2.2874655
3291.3	-2.7927181
3291.35	-3.1321082
3291.4	-3.237877
3291.45	-3.0401584
3291.5	-2.5223369
3291.55	-1.686194
3291.6	-0.5904434
3291.65	0.69361367
3291.7	2.0769847
3291.75	3.4694732
3291.8	4.75212
3291.85	5.8281093
3291.9	6.6000306
3291.95	7.0213899
3292	7.0666501
3292.05	6.7681929
3292.1	6.1546644
3292.15	5.31124
3292.2	4.3033687
3292.25	3.2266186
3292.3	2.1341063
3292.35	1.088455
3292.4	0.12642728
3292.45	-0.70910989
3292.5	-1.4128705
3292.55	-1.9387362
3292.6	-2.2927729
3292.65	-2.4641626
3292.7	-2.5012827
3292.75	-2.4201502
3292.8	-2.2631016
3292.85	-2.0431393
3292.9	-1.7983925
3292.95	-1.5260517
3293	-1.2378146
3293.05	-0.91604851
3293.1	-0.56258704
3293.15	-0.16497403
3293.2	0.28829441
3293.25	0.80876946
3293.3	1.388533
3293.35	2.0349137
3293.4	2.6958279
3293.45	3.3312323
3293.5	3.8670321
3293.55	4.2533149
3293.6	4.4092461
3293.65	4.2768984
3293.7	3.7861815
3293.75	2.924602
3293.8	1.6889047
3293.85	0.14358512
3293.9	-1.659233
3293.95	-3.5873557
3294	-5.5324589
3294.05	-7.3747137
3294.1	-9.0217102
3294.15	-10.389073
3294.2	-11.459407
3294.25	-12.202242
3294.3	-12.650365
3294.35	-12.829589
3294.4	-12.795541
3294.45	-12.600443
3294.5	-12.29902
3294.55	-11.936336
3294.6	-11.554016
3294.65	-11.148369
3294.7	-10.709569
3294.75	-10.219111
3294.8	-9.6378316
3294.85	-8.9169714
3294.9	-8.0333687
3294.95	-6.9943831
3295	-5.8267842
3295.05	-4.5717645
3295.1	-3.3078589
3295.15	-2.0969703
3295.2	-1.0110183
3295.25	-0.091600053
3295.3	0.6343716
3295.35	1.1842997
3295.4	1.575497
3295.45	1.8488069
3295.5	2.0143389
3295.55	2.0935851
3295.6	2.0881157
3295.65	2.0150196
3295.7	1.8512111
3295.75	1.6036708
3295.8	1.2651689
3295.85	0.85932164
3295.9	0.40241382
3295.95	-0.075769639
3296	-0.57538061
3296.05	-1.059645
3296.1	-1.5327753
3296.15	-1.9792297
3296.2	-2.4093935
3296.25	-2.8149401
3296.3	-3.1967677
3296.35	-3.5480855
3296.4	-3.879204
3296.45	-4.1651133
3296.5	-4.4261594
3296.55	-4.643158
3296.6	-4.8124158
3296.65	-4.9019322
3296.7	-4.9098976
3296.75	-4.8023362
3296.8	-4.5680656
3296.85	-4.1737722
3296.9	-3.6225218
3296.95	-2.8943541
3297	-2.0257937
3297.05	-1.0280642
3297.1	0.058499883
3297.15	1.1943961
3297.2	2.2984914
3297.25	3.3038275
3297.3	4.1191863
3297.35	4.690998
3297.4	4.9533461
3297.45	4.8794378
3297.5	4.472199
3297.55	3.7690555
3297.6	2.8274208
3297.65	1.7351677
3297.7	0.56501947
3297.75	-0.58705094
3297.8	-1.6619002
3297.85	-2.5895435
3297.9	-3.3398394
3297.95	-3.885441
3298	-4.2590271
3298.05	-4.4590594
3298.1	-4.539025
3298.15	-4.5215625
3298.2	-4.4300239
3298.25	-4.2713659
3298.3	-4.0619534
3298.35	-3.783498
3298.4	-3.4511126
3298.45	-3.0430543
3298.5	-2.5672656
3298.55	-2.0180724
3298.6	-1.4095753
3298.65	-0.7577944
3298.7	-0.11799711
3298.75	0.47227346
3298.8	0.97523596
3298.85	1.377713
3298.9	1.6552775
3298.95	1.8231711
3299	1.867439
3299.05	1.8120946
3299.1	1.6529169
3299.15	1.3874174
3299.2	0.98923508
3299.25	0.45409061
3299.3	-0.22495234
3299.35	-1.0343175
3299.4	-1.961211
3299.45	-2.9537849
3299.5	-3.9521451
3299.55	-4.8828976
3299.6	-5.6876188
3299.65	-6.2749049
3299.7	-6.6154859
3299.75	-6.661009
3299.8	-6.4052958
3299.85	-5.8591708
3299.9	-5.0923264
3299.95	-4.1496208
3300	-3.117285
3300.05	-2.0441275
3300.1	-1.0118018
3300.15	-0.049687723
3300.2	0.80406549
3300.25	1.5482737
3300.3	2.1733388
3300.35	2.7231449
3300.4	3.2088496
3300.45	3.6881476
3300.5	4.1923448
3300.55	4.7594484
3300.6	5.4103603
3300.65	6.1723093
3300.7	7.0454605
3300.75	8.0376883
3300.8	9.1185962
3300.85	10.286971
3300.9	11.515026
3300.95	12.774056
3301	14.025748
3301.05	15.255452
3301.1	16.428734
3301.15	17.535984
3301.2	18.557355
3301.25	19.490649
3301.3	20.310049
3301.35	21.010336
3301.4	21.567811
3301.45	21.973889
3301.5	22.205854
3301.55	22.283779
3301.6	22.206163
3301.65	22.013745
3301.7	21.732728
3301.75	21.4184
3301.8	21.109276
3301.85	20.836269
3301.9	20.596981
3301.95	20.40222
3302	20.230237
3302.05	20.068768
3302.1	19.85775
3302.15	19.589952
3302.2	19.243752
3302.25	18.820751
3302.3	18.302042
